header	source	host	accession	country	strain	global_lineage	us_lineage	Vaccine_global_lineage	Vaccine_us_lineage	isalphadel
bg|JX422572|A/swine/Nebraska/A01241395/2012|USA|2012-01-26	bg	swine	JX422572	USA	A/swine/Nebraska/A01241395/2012	1A.2	beta	n/a	n/a	not-alpha
bg|JX860653|A/swine/Nebraska/A01301855/2012|USA|2012-09-04	bg	swine	JX860653	USA	A/swine/Nebraska/A01301855/2012	1A.2	beta	n/a	n/a	not-alpha
bg|KC238314|A/swine/South_Dakota/A01267992/2012|USA|2012-10-30	bg	swine	KC238314	USA	A/swine/South_Dakota/A01267992/2012	1A.2	beta	n/a	n/a	not-alpha
map|swine|EU139827|H1N1|gamma2-beta-like|A/SWINE/MINNESOTA/37866/1999	map	swine	EU139827	USA	A/SWINE/MINNESOTA/37866/1999	1A.2-3-like	gamma2-beta-like	n/a	n/a	not-alpha
bg|MN328331|A/swine/NE/54455/2018|USA|2018-08-01	bg	swine	MN328331	USA	A/swine/NE/54455/2018	1A.2-3-like	gamma2-beta-like	n/a	n/a	not-alpha
bg|KJ397936|A/swine/Iowa/A01410129/2012|USA|2012-05-22	bg	swine	KJ397936	USA	A/swine/Iowa/A01410129/2012	1A.3.2	gamma2	n/a	n/a	not-alpha
bg|KC844200|A/swine/South_Dakota/A01349306/2013|USA|2013-03-12	bg	swine	KC844200	USA	A/swine/South_Dakota/A01349306/2013	1A.3.2	gamma2	n/a	n/a	not-alpha
bg|KY859939|A/swine/Missouri/A01932424/2017|USA|2017-02-22	bg	swine	KY859939	USA	A/swine/Missouri/A01932424/2017	1A.3.2	gamma2	n/a	n/a	not-alpha
map|swine|KJ701784|H1N1|npdm|A/SWINE/ILLINOIS/A01493472/2014	map	swine	KJ701784	USA	A/SWINE/ILLINOIS/A01493472/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KF574783|A/swine/Iowa/A01432960/2013|USA|2013-08-	bg	swine	KF574783	USA	A/swine/Iowa/A01432960/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK358908|A/swine/Iowa/A02271043/2018|USA|2018-11-28	bg	swine	MK358908	USA	A/swine/Iowa/A02271043/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KT429546|A/swine/North_Carolina/A02035721/2015|USA|2015-07-14	bg	swine	KT429546	USA	A/swine/North_Carolina/A02035721/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK071674|A/swine/Arizona/A02257613/2018|USA|2018-09-20	bg	swine	MK071674	USA	A/swine/Arizona/A02257613/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MH540387|A/swine/Iowa/A02158959/2018|USA|2018-05-19	bg	swine	MH540387	USA	A/swine/Iowa/A02158959/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KX088421|A/swine/Nebraska/A01733791/2016|USA|2016-03-18	bg	swine	KX088421	USA	A/swine/Nebraska/A01733791/2016	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KU362581|A/swine/Minnesota/A01941304/2015|USA|2015-11-28	bg	swine	KU362581	USA	A/swine/Minnesota/A01941304/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MH680943|A/swine/Iowa/A01785576/2018|USA|2018-06-19	bg	swine	MH680943	USA	A/swine/Iowa/A01785576/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KP938849|A/swine/Virginia/1814-1/2012|USA|2012--	bg	swine	KP938849	USA	A/swine/Virginia/1814-1/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KT867226|A/swine/Indiana/A01944001/2015|USA|2015-09-08	bg	swine	KT867226	USA	A/swine/Indiana/A01944001/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KT259327|A/swine/North_Carolina/A02077953/2015|USA|2015-06-15	bg	swine	KT259327	USA	A/swine/North_Carolina/A02077953/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MN022462|A/swine/Iowa/A02478480/2019|USA|2019-05-06	bg	swine	MN022462	USA	A/swine/Iowa/A02478480/2019	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MK358876|A/swine/Minnesota/A02270139/2018|USA|2018-11-14	bg	swine	MK358876	USA	A/swine/Minnesota/A02270139/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KR052692|A/swine/Indiana/A01260802/2015|USA|2015-01-28	bg	swine	KR052692	USA	A/swine/Indiana/A01260802/2015	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KM245314|A/swine/Iowa/A01410990/2014|USA|2014-06-19	bg	swine	KM245314	USA	A/swine/Iowa/A01410990/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|JX422581|A/swine/Minnesota/A01328420/2012|USA|2012-05-14	bg	swine	JX422581	USA	A/swine/Minnesota/A01328420/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|JX444788|A/swine/Nebraska/A01203626/2012|USA|2012-07-12	bg	swine	JX444788	USA	A/swine/Nebraska/A01203626/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KP938851|A/swine/Pennsylvania/2436/2012|USA|2012--	bg	swine	KP938851	USA	A/swine/Pennsylvania/2436/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KF382708|A/swine/Virginia/A01432745/2013|USA|2013-04-30	bg	swine	KF382708	USA	A/swine/Virginia/A01432745/2013	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KP081625|A/swine/Minnesota/A01566017/2014|USA|2014-10-06	bg	swine	KP081625	USA	A/swine/Minnesota/A01566017/2014	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MH179048|A/swine/Arkansas/A01678551/2018|USA|2018-03-23	bg	swine	MH179048	USA	A/swine/Arkansas/A01678551/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|KP938855|A/swine/Minnesota/2499/2012|USA|2012--	bg	swine	KP938855	USA	A/swine/Minnesota/2499/2012	1A.3.3.2	pandemic	n/a	n/a	not-alpha
bg|MG930928|A/swine/Kentucky/A02140797/2018|USA|2018-01-08	bg	swine	MG930928	USA	A/swine/Kentucky/A02140797/2018	1A.3.3.2	pandemic	n/a	n/a	not-alpha
map|swine|EU604689|H1N1|gamma|A/SWINE/OHIO/511445/2007	map	swine	EU604689	USA	A/SWINE/OHIO/511445/2007	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KP662638|H1N1|gamma|A/SWINE/MINNESOTA/A01567490/2014	map	swine	KP662638	USA	A/SWINE/MINNESOTA/A01567490/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KR088267|H1N1|gamma|A/SWINE/NORTH_CAROLINA/A01841602/2015	map	swine	KR088267	USA	A/SWINE/NORTH_CAROLINA/A01841602/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KR780630|H1N1|gamma|A/SWINE/OHIO/A01847657/2015	map	swine	KR780630	USA	A/SWINE/OHIO/A01847657/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KT429540|H1N1|gamma|A/SWINE/NORTH_CAROLINA/A02076926/2015	map	swine	KT429540	USA	A/SWINE/NORTH_CAROLINA/A02076926/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KU357008|H1N1|gamma|A/SWINE/NORTH_CAROLINA/A01797415/2015	map	swine	KU357008	USA	A/SWINE/NORTH_CAROLINA/A01797415/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KU695684|H1N1|gamma|A/SWINE/NORTH_CAROLINA/A01730369/2016	map	swine	KU695684	USA	A/SWINE/NORTH_CAROLINA/A01730369/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|KU877398|H1N1|gamma|A/SWINE/IOWA/A01731653/2016	map	swine	KU877398	USA	A/SWINE/IOWA/A01731653/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KM185860|A/swine/Ohio/13TOSU1928/2013|USA|2013-08-31	bg	swine	KM185860	USA	A/swine/Ohio/13TOSU1928/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK418482|A/swine/Nebraska/A02428129/2018|USA|2018-12-28	bg	swine	MK418482	USA	A/swine/Nebraska/A02428129/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK506979|A/swine/Minnesota/A01785818/2019|USA|2019-01-08	bg	swine	MK506979	USA	A/swine/Minnesota/A01785818/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK391672|A/swine/Iowa/A02427454/2018|USA|2018-12-12	bg	swine	MK391672	USA	A/swine/Iowa/A02427454/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KF790586|A/swine/Indiana/A01260366/2013|USA|2013-08-16	bg	swine	KF790586	USA	A/swine/Indiana/A01260366/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK503404|A/swine/North_Carolina/A02429582/2019|USA|2019-01-16	bg	swine	MK503404	USA	A/swine/North_Carolina/A02429582/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX267173|A/swine/Iowa/A01203544/2012|USA|2012-05-23	bg	swine	JX267173	USA	A/swine/Iowa/A01203544/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KC748501|A/swine/Iowa/A01445629/2013|USA|2013-02-18	bg	swine	KC748501	USA	A/swine/Iowa/A01445629/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP901318|A/swine/Oklahoma/A01555399/2015|USA|2015-01-22	bg	swine	KP901318	USA	A/swine/Oklahoma/A01555399/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX099397|A/swine/Illinois/A01104011/2012|USA|2012-01-25	bg	swine	JX099397	USA	A/swine/Illinois/A01104011/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY802102|A/swine/Iowa/A01932251/2017|USA|2017-02-14	bg	swine	KY802102	USA	A/swine/Iowa/A01932251/2017	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KF824489|A/swine/Minnesota/A01394084/2013|USA|2013-10-14	bg	swine	KF824489	USA	A/swine/Minnesota/A01394084/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH608113|A/swine/Minnesota/A01785557/2018|USA|2018-05-31	bg	swine	MH608113	USA	A/swine/Minnesota/A01785557/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KU242677|A/swine/North_Carolina/A01795808/2015|USA|2015-11-05	bg	swine	KU242677	USA	A/swine/North_Carolina/A01795808/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MF623906|A/swine/Indiana/A02218430/2017|USA|2017-07-14	bg	swine	MF623906	USA	A/swine/Indiana/A02218430/2017	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH937441|A/swine/North_Carolina/A02256801/2018|USA|2018-08-27	bg	swine	MH937441	USA	A/swine/North_Carolina/A02256801/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK278916|A/swine/Michigan/A01678598/2018|USA|2018-11-26	bg	swine	MK278916	USA	A/swine/Michigan/A01678598/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KU301004|A/swine/Illinois/A01796316/2015|USA|2015-11-12	bg	swine	KU301004	USA	A/swine/Illinois/A01796316/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY454592|A/swine/North_Carolina/A01668596/2016|USA|2016-11-21	bg	swine	KY454592	USA	A/swine/North_Carolina/A01668596/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP890038|A/swine/Illinois/A01462607/2015|USA|2015-01-26	bg	swine	KP890038	USA	A/swine/Illinois/A01462607/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KT828190|A/swine/Indiana/14TOSU3381/2014|USA|2014--	bg	swine	KT828190	USA	A/swine/Indiana/14TOSU3381/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MN517784|A/swine/Iowa/A02478629/2019|USA|2019-08-28	bg	swine	MN517784	USA	A/swine/Iowa/A02478629/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KT313455|A/swine/Minnesota/A01472033/2015|USA|2015-07-01	bg	swine	KT313455	USA	A/swine/Minnesota/A01472033/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KC571603|A/swine/Indiana/A01260027/2012|USA|2012-09-27	bg	swine	KC571603	USA	A/swine/Indiana/A01260027/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KJ640275|A/swine/Indiana/13TOSU0824/2013|USA|2013-07-01	bg	swine	KJ640275	USA	A/swine/Indiana/13TOSU0824/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX983102|A/swine/Minnesota/27/2012|USA|2012-10-04	bg	swine	JX983102	USA	A/swine/Minnesota/27/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KF680058|A/swine/Iowa/A01364403/2013|USA|2013-08-27	bg	swine	KF680058	USA	A/swine/Iowa/A01364403/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KX960599|A/swine/Indiana/14TOSU2671/2014|USA|2014-07-12	bg	swine	KX960599	USA	A/swine/Indiana/14TOSU2671/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH371204|A/swine/North_Carolina/A02157973/2018|USA|2018-04-17	bg	swine	MH371204	USA	A/swine/North_Carolina/A02157973/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH937427|A/swine/Minnesota/A02256797/2018|USA|2018-08-23	bg	swine	MH937427	USA	A/swine/Minnesota/A02256797/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP890044|A/swine/Illinois/A01462632/2015|USA|2015-01-28	bg	swine	KP890044	USA	A/swine/Illinois/A01462632/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KM576119|A/swine/Kansas/A01377352/2014|USA|2014-09-08	bg	swine	KM576119	USA	A/swine/Kansas/A01377352/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KT803999|A/swine/Indiana/A01260933/2015|USA|2015-07-05	bg	swine	KT803999	USA	A/swine/Indiana/A01260933/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK072860|A/swine/Iowa/A01785635/2018|USA|2018-10-08	bg	swine	MK072860	USA	A/swine/Iowa/A01785635/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK844247|A/swine/Indiana/A02431890/2019|USA|2019-03-29	bg	swine	MK844247	USA	A/swine/Indiana/A02431890/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MG650652|A/swine/Iowa/A02134991/2017|USA|2017-10-23	bg	swine	MG650652	USA	A/swine/Iowa/A02134991/2017	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX983105|A/swine/Minnesota/28/2012|USA|2012-10-04	bg	swine	JX983105	USA	A/swine/Minnesota/28/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KU357026|A/swine/Indiana/A01798096/2015|USA|2015-11-13	bg	swine	KU357026	USA	A/swine/Indiana/A01798096/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH550882|A/swine/Indiana/A01812254/2017|USA|2017-01-11	bg	swine	MH550882	USA	A/swine/Indiana/A01812254/2017	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KR183794|A/swine/Minnesota/A01470721/2015|USA|2015-04-08	bg	swine	KR183794	USA	A/swine/Minnesota/A01470721/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KT306747|A/swine/Illinois/A02090081/2015|USA|2015-06-30	bg	swine	KT306747	USA	A/swine/Illinois/A02090081/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH350900|A/swine/Colorado/A02157972/2018|USA|2018-04-16	bg	swine	MH350900	USA	A/swine/Colorado/A02157972/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY284546|A/swine/Minnesota/A01782796/2016|USA|2016-10-25	bg	swine	KY284546	USA	A/swine/Minnesota/A01782796/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK799877|A/swine/Indiana/A02431147/2019|USA|2019-03-05	bg	swine	MK799877	USA	A/swine/Indiana/A02431147/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK014573|A/swine/South_Dakota/A01678587/2018|USA|2018-09-20	bg	swine	MK014573	USA	A/swine/South_Dakota/A01678587/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX080547|A/swine/Iowa/A01203432/2012|USA|2012-04-16	bg	swine	JX080547	USA	A/swine/Iowa/A01203432/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KF478872|A/swine/North_Carolina/A01432882/2013|USA|2013-07-	bg	swine	KF478872	USA	A/swine/North_Carolina/A01432882/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY007234|A/swine/North_Carolina/A01781332/2016|USA|2016-09-14	bg	swine	KY007234	USA	A/swine/North_Carolina/A01781332/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH201024|A/swine/Iowa/A02156990/2018|USA|2018-03-21	bg	swine	MH201024	USA	A/swine/Iowa/A02156990/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KJ013288|A/swine/Iowa/A01395338/2013|USA|2013-11-20	bg	swine	KJ013288	USA	A/swine/Iowa/A01395338/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK405247|A/swine/Missouri/A02427857/2018|USA|2018-12-20	bg	swine	MK405247	USA	A/swine/Missouri/A02427857/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KF537368|A/swine/Iowa/A01432902/2013|USA|2013-08-	bg	swine	KF537368	USA	A/swine/Iowa/A01432902/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KX928652|A/swine/Indiana/A01781271/2016|USA|2016-09-14	bg	swine	KX928652	USA	A/swine/Indiana/A01781271/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP064398|A/swine/Indiana/A01260662/2014|USA|2014-09-19	bg	swine	KP064398	USA	A/swine/Indiana/A01260662/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK503400|A/swine/Iowa/A02429495/2019|USA|2019-01-02	bg	swine	MK503400	USA	A/swine/Iowa/A02429495/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KC167141|A/swine/Minnesota/A01267765/2012|USA|2012-10-12	bg	swine	KC167141	USA	A/swine/Minnesota/A01267765/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK039815|A/swine/Minnesota/A02257389/2018|USA|2018-09-07	bg	swine	MK039815	USA	A/swine/Minnesota/A02257389/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MN183799|A/swine/Iowa/A02245189/2019|USA|2019-06-27	bg	swine	MN183799	USA	A/swine/Iowa/A02245189/2019	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KJ605033|A/swine/Illinois/A01410360/2014|USA|2014-03-	bg	swine	KJ605033	USA	A/swine/Illinois/A01410360/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KX298117|A/swine/North_Carolina/A01774921/2016|USA|2016-05-09	bg	swine	KX298117	USA	A/swine/North_Carolina/A01774921/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KF709402|A/swine/Ohio/A01364847/2013|USA|2013-09-17	bg	swine	KF709402	USA	A/swine/Ohio/A01364847/2013	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MF784409|A/swine/Iowa/A02218755/2017|USA|2017-07-31	bg	swine	MF784409	USA	A/swine/Iowa/A02218755/2017	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX422266|A/swine/Illinois/A01327563/2012|USA|2012-04-16	bg	swine	JX422266	USA	A/swine/Illinois/A01327563/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY115536|A/swine/South_Dakota/A01782401/2016|USA|2016-10-10	bg	swine	KY115536	USA	A/swine/South_Dakota/A01782401/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KM013807|A/swine/Illinois/A01536664/2014|USA|2014-05-14	bg	swine	KM013807	USA	A/swine/Illinois/A01536664/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY465603|A/swine/Iowa/A01785246/2016|USA|2016-12-23	bg	swine	KY465603	USA	A/swine/Iowa/A01785246/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KJ683871|A/swine/South_Dakota/A01480750/2014|USA|2014-03-27	bg	swine	KJ683871	USA	A/swine/South_Dakota/A01480750/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|JX401340|A/swine/South_Dakota/13/2012|USA|2012-07-03	bg	swine	JX401340	USA	A/swine/South_Dakota/13/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KU695711|A/swine/Indiana/A01730363/2016|USA|2016-01-26	bg	swine	KU695711	USA	A/swine/Indiana/A01730363/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KU518822|A/swine/North_Carolina/030454/2015|USA|2015-03-17	bg	swine	KU518822	USA	A/swine/North_Carolina/030454/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP996547|A/swine/Iowa/A01555557/2015|USA|2015-02-16	bg	swine	KP996547	USA	A/swine/Iowa/A01555557/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH341201|A/swine/Minnesota/A01785502/2018|USA|2018-04-07	bg	swine	MH341201	USA	A/swine/Minnesota/A01785502/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KX684016|A/swine/Illinois/A01777764/2016|USA|2016-07-14	bg	swine	KX684016	USA	A/swine/Illinois/A01777764/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KM361414|A/swine/Indiana/A01260588/2014|USA|2014-07-02	bg	swine	KM361414	USA	A/swine/Indiana/A01260588/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KT000076|A/swine/Minnesota/A02077496/2015|USA|2015-05-04	bg	swine	KT000076	USA	A/swine/Minnesota/A02077496/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KY486452|A/swine/Iowa/A01671233/2016|USA|2016-12-02	bg	swine	KY486452	USA	A/swine/Iowa/A01671233/2016	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH814605|A/swine/Kansas/A01378041/2018|USA|2018-08-06	bg	swine	MH814605	USA	A/swine/Kansas/A01378041/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP003901|A/swine/Iowa/A01483085/2014|USA|2014-09-24	bg	swine	KP003901	USA	A/swine/Iowa/A01483085/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MG917054|A/swine/North_Carolina/A02140663/2018|USA|2018-01-11	bg	swine	MG917054	USA	A/swine/North_Carolina/A02140663/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KJ493401|A/swine/North_Carolina/A01409950/2014|USA|2014-02-	bg	swine	KJ493401	USA	A/swine/North_Carolina/A01409950/2014	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MK072864|A/swine/Minnesota/A01785637/2018|USA|2018-10-09	bg	swine	MK072864	USA	A/swine/Minnesota/A01785637/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MH182125|A/swine/Iowa/A01785481/2018|USA|2018-03-21	bg	swine	MH182125	USA	A/swine/Iowa/A01785481/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MN179391|A/swine/California/T1800664/2018|USA|2018-04-05	bg	swine	MN179391	USA	A/swine/California/T1800664/2018	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|MF962618|A/swine/Iowa/A02219791/2017|USA|2017-08-17	bg	swine	MF962618	USA	A/swine/Iowa/A02219791/2017	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KP842760|A/swine/North_Carolina/A01840504/2015|USA|2015-01-21	bg	swine	KP842760	USA	A/swine/North_Carolina/A01840504/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KC134411|A/swine/Iowa/A01203904/2012|USA|2012-10-	bg	swine	KC134411	USA	A/swine/Iowa/A01203904/2012	1A.3.3.3	gamma	n/a	n/a	not-alpha
bg|KU379601|A/swine/Indiana/A01895024/2015|USA|2015-11-23	bg	swine	KU379601	USA	A/swine/Indiana/A01895024/2015	1A.3.3.3	gamma	n/a	n/a	not-alpha
map|swine|CY081899|H1|delta2|A/SWINE/ILLINOIS/00685/2005	map	swine	CY081899	USA	A/SWINE/ILLINOIS/00685/2005	1B.2.1	delta2	n/a	n/a	not-alpha
map|swine|KJ437589|H1N2|delta2|A/SWINE/OKLAHOMA/A01409770/2014	map	swine	KJ437589	USA	A/SWINE/OKLAHOMA/A01409770/2014	1B.2.1	delta2	n/a	n/a	not-alpha
map|swine|MG917068|H1N2|delta2|A/SWINE/ILLINOIS/A02139356/2018	map	swine	MG917068	USA	A/SWINE/ILLINOIS/A02139356/2018	1B.2.1	delta2	n/a	n/a	not-alpha
map|swine|MH758776|H1N2|delta2|A/SWINE/MICHIGAN/A01104117/2018	map	swine	MH758776	USA	A/SWINE/MICHIGAN/A01104117/2018	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MG210363|A/swine/Missouri/A02221494/2017|USA|2017-09-13	bg	swine	MG210363	USA	A/swine/Missouri/A02221494/2017	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MK156656|A/swine/Indiana/A02267940/2018|USA|2018-10-17	bg	swine	MK156656	USA	A/swine/Indiana/A02267940/2018	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MN193094|A/swine/Iowa/A02478561/2019|USA|2019-06-20	bg	swine	MN193094	USA	A/swine/Iowa/A02478561/2019	1B.2.1	delta2	n/a	n/a	not-alpha
bg|KX772371|A/swine/North_Carolina/A01778373/2016|USA|2016-08-05	bg	swine	KX772371	USA	A/swine/North_Carolina/A01778373/2016	1B.2.1	delta2	n/a	n/a	not-alpha
bg|KP691526|A/swine/Kansas/14-032473/2014|USA|2014-12-10	bg	swine	KP691526	USA	A/swine/Kansas/14-032473/2014	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MG669451|A/swine/Pennsylvania/A02135726/2017|USA|2017-11-07	bg	swine	MG669451	USA	A/swine/Pennsylvania/A02135726/2017	1B.2.1	delta2	n/a	n/a	not-alpha
bg|KY120234|A/swine/Iowa/A01782575/2016|USA|2016-10-24	bg	swine	KY120234	USA	A/swine/Iowa/A01782575/2016	1B.2.1	delta2	n/a	n/a	not-alpha
bg|KT767631|A/swine/North_Carolina/A02025581/2015|USA|2015-08-12	bg	swine	KT767631	USA	A/swine/North_Carolina/A02025581/2015	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MH936450|A/swine/North_Carolina/A01785610/2018|USA|2018-08-30	bg	swine	MH936450	USA	A/swine/North_Carolina/A01785610/2018	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MN179399|A/swine/California/T1801615/2018|USA|2018-07-31	bg	swine	MN179399	USA	A/swine/California/T1801615/2018	1B.2.1	delta2	n/a	n/a	not-alpha
bg|MK391646|A/swine/Indiana/A02427670/2018|USA|2018-12-14	bg	swine	MK391646	USA	A/swine/Indiana/A02427670/2018	1B.2.1	delta2	n/a	n/a	not-alpha
bg|KY115559|A/swine/North_Carolina/A01782228/2016|USA|2016-10-03	bg	swine	KY115559	USA	A/swine/North_Carolina/A01782228/2016	1B.2.1	delta2	n/a	n/a	not-alpha
